Date,Price,Close,High,Low,Open,Volume
0,2025-08-01,202.1505889892578,213.33788973606855,201.27158167093617,210.63095505795985,104434500
1,2025-08-04,203.11949157714844,207.64435521756303,201.4513712516652,204.27816503495924,75109300
2,2025-08-05,202.68995666503903,205.1072113881769,201.93082373064988,203.1694082424696,44155100
3,2025-08-06,213.0082550048828,215.1358452662651,205.3569348951669,205.39689808550256,108483100
4,2025-08-07,219.7805633544922,220.59964108330857,216.33447747046455,218.63187314031333,90224800
5,2025-08-08,229.0900115966797,230.73813503605493,219.00145500716468,220.57966572513484,113854000
