Price,Adj Close,Close,High,Low,Open,Volume
Ticker,600519.SS,600519.SS,600519.SS,600519.SS,600519.SS,600519.SS
Date,,,,,,
2020-01-02,1019.9779663085938,1130.0,1145.06005859375,1116.0,1128.0,14809916
2020-01-03,973.54638671875,1078.56005859375,1117.0,1076.9000244140625,1117.0,13031878
2020-01-06,973.03173828125,1077.989990234375,1092.9000244140625,1067.300048828125,1070.8599853515625,6341478
2020-01-07,987.9614868164062,1094.530029296875,1099.0,1076.4000244140625,1077.5,4785359
2020-01-08,982.1935424804688,1088.1400146484375,1088.1400146484375,1088.1400146484375,1088.1400146484375,2500825
2020-01-09,995.3359985351562,1102.699951171875,1105.3900146484375,1090.0,1094.0,3740587
2020-01-10,1004.181884765625,1112.5,1115.989990234375,1102.5,1109.0,3597587
2020-01-13,1014.8058471679688,1124.27001953125,1124.27001953125,1124.27001953125,1124.27001953125,3851575
2020-01-14,999.5783081054688,1107.4000244140625,1107.4000244140625,1107.4000244140625,1107.4000244140625,3514465
2020-01-15,1003.8478393554688,1112.1300048828125,1121.5999755859375,1105.0,1109.010009765625,2602911
2020-01-16,999.21728515625,1107.0,1118.8699951171875,1102.5799560546875,1118.8699951171875,2319165
2020-01-17,999.6686401367188,1107.5,1112.780029296875,1101.010009765625,1110.0,2347275
2020-01-20,984.775146484375,1091.0,1111.8599853515625,1082.0,1111.8599853515625,3539130
2020-01-21,970.603759765625,1075.300048828125,1087.0,1072.300048828125,1081.0,3287405
2020-01-22,970.7932739257812,1075.510009765625,1084.0,1055.3800048828125,1070.0,3620004
2020-01-23,950.2944946289062,1052.800048828125,1076.0,1037.0,1076.0,5346843
2020-02-03,906.173583984375,1003.9199829101562,1010.6799926757812,980.0,985.0,12344288
2020-02-04,936.9444580078125,1038.010009765625,1057.0,1015.0,1015.0,6262418
2020-02-05,947.758056640625,1049.989990234375,1054.0,1033.030029296875,1050.0,4741824
2020-02-06,966.722412109375,1071.0,1075.0,1052.02001953125,1059.4300537109375,4717121
2020-02-07,971.235595703125,1076.0,1077.0,1061.02001953125,1070.010009765625,3127871
2020-02-10,962.6515502929688,1066.489990234375,1074.5999755859375,1057.199951171875,1062.0,3053342
2020-02-11,991.0935668945312,1098.0,1099.6800537109375,1062.800048828125,1063.0,4791793
2020-02-12,990.4346923828125,1097.27001953125,1098.7900390625,1085.8800048828125,1089.0,2812543
2020-02-13,984.775146484375,1091.0,1113.8900146484375,1088.010009765625,1098.0,3035736
2020-02-14,982.0671997070312,1088.0,1093.510009765625,1083.1099853515625,1090.449951171875,2328760
2020-02-17,987.3204956054688,1093.8199462890625,1096.18994140625,1082.4000244140625,1082.5,2702822
2020-02-18,978.4566650390625,1084.0,1096.8800048828125,1083.0,1090.010009765625,2666496
2020-02-19,989.7396850585938,1096.5,1101.5,1078.0,1085.0,3705147
2020-02-20,1009.146240234375,1118.0,1124.0,1095.4100341796875,1096.699951171875,4680262
2020-02-21,1004.52490234375,1112.8800048828125,1123.5400390625,1110.010009765625,1111.4599609375,2894008
2020-02-24,981.3272094726562,1087.1800537109375,1110.0,1085.5,1105.5,3865036
2020-02-25,970.16162109375,1074.81005859375,1082.0899658203125,1067.8800048828125,1078.0,3838562
2020-02-26,969.1596069335938,1073.699951171875,1084.0,1055.0,1062.0,4356097
2020-02-27,981.5166015625,1087.3900146484375,1094.989990234375,1076.0,1076.0,3449829
2020-02-28,954.0855102539062,1057.0,1082.0,1049.969970703125,1070.300048828125,4994657
2020-03-02,980.27099609375,1086.010009765625,1096.550048828125,1050.010009765625,1050.1099853515625,4766304
2020-03-03,1004.6331176757812,1113.0,1118.8800048828125,1098.0,1098.0,5025015
2020-03-04,1019.0031127929688,1128.9200439453125,1139.0,1116.239990234375,1125.0,5379299
2020-03-05,1056.986083984375,1171.0,1174.989990234375,1130.56005859375,1136.31005859375,6242645
2020-03-06,1042.9952392578125,1155.5,1176.0,1151.97998046875,1163.0,3064100
2020-03-09,1005.5447998046875,1114.010009765625,1135.0,1111.31005859375,1135.0,4340409
2020-03-10,1043.446533203125,1156.0,1168.0,1113.0,1113.0,5806293
2020-03-11,1045.7210693359375,1158.52001953125,1169.5799560546875,1141.0,1155.5,3554757
2020-03-12,1027.6502685546875,1138.5,1153.0,1125.0999755859375,1141.219970703125,3663063
2020-03-13,1003.7576293945312,1112.030029296875,1128.97998046875,1080.0,1090.0,7588531
2020-03-16,963.1118774414062,1067.0,1107.949951171875,1062.0,1103.97998046875,5123254
2020-03-17,943.3441162109375,1045.0999755859375,1078.0,1011.1199951171875,1055.0,7935912
2020-03-18,909.8472900390625,1007.989990234375,1060.0,1007.989990234375,1040.0,7345988
2020-03-19,899.0247192382812,996.0,1015.0,960.0999755859375,993.989990234375,10226507
2020-03-20,934.4804077148438,1035.280029296875,1043.0,1011.0,1011.0,6013919
2020-03-23,919.7853393554688,1019.0,1035.280029296875,991.52001953125,1000.0,4847210
2020-03-24,953.1829223632812,1056.0,1058.8800048828125,1035.0,1043.0,4665096
2020-03-25,974.9365234375,1080.0999755859375,1091.3599853515625,1074.199951171875,1087.97998046875,3704866
2020-03-26,961.234375,1064.9200439453125,1091.199951171875,1062.0,1073.3299560546875,3004856
2020-03-27,970.784423828125,1075.5,1092.0,1075.010009765625,1085.0,3626112
2020-03-30,967.6250610351562,1072.0,1077.0,1057.0,1060.25,3068741
2020-03-31,1002.8280639648438,1111.0,1115.0,1081.800048828125,1082.0,4798437
2020-04-01,995.6066284179688,1103.0,1129.0,1103.0,1117.0,3320535
2020-04-02,1033.5174560546875,1145.0,1145.0,1103.8800048828125,1104.0,4520561
2020-04-03,1028.81494140625,1139.7900390625,1147.9599609375,1131.97998046875,1139.030029296875,2761761
2020-04-07,1047.01171875,1159.949951171875,1166.5,1148.8900146484375,1161.949951171875,4348800
2020-04-08,1046.84033203125,1159.760009765625,1166.31005859375,1152.0,1152.0,2422442
2020-04-09,1045.702880859375,1158.5,1169.0,1147.9599609375,1166.0,2281697
2020-04-10,1051.570068359375,1165.0,1181.5,1153.5,1157.8800048828125,2780434
2020-04-13,1049.133056640625,1162.300048828125,1169.97998046875,1148.5,1165.0,1598147
2020-04-14,1069.713134765625,1185.0999755859375,1191.550048828125,1166.0,1176.0,3679955
2020-04-15,1073.77490234375,1189.5999755859375,1203.989990234375,1187.0999755859375,1192.0,2933229
2020-04-16,1080.5447998046875,1197.0999755859375,1197.0999755859375,1184.0999755859375,1192.969970703125,2172774
2020-04-17,1106.6309814453125,1226.0,1234.56005859375,1205.010009765625,1210.0,3824569
2020-04-20,1107.8043212890625,1227.300048828125,1231.5,1216.800048828125,1221.0,2423864
2020-04-21,1083.162353515625,1200.0,1223.989990234375,1193.0,1221.02001953125,2922422
2020-04-22,1123.3294677734375,1244.5,1249.5,1202.219970703125,1206.0,4403473
2020-04-23,1130.333984375,1252.260009765625,1265.6800537109375,1247.77001953125,1250.0,2689851
2020-04-24,1128.799560546875,1250.56005859375,1259.8900146484375,1235.1800537109375,1248.0,1912240
2020-04-27,1151.7626953125,1276.0,1278.1700439453125,1250.9599609375,1257.0,2590391
2020-04-28,1154.5880126953125,1279.1300048828125,1299.93994140625,1271.8800048828125,1285.31005859375,3466190
2020-04-29,1150.77001953125,1274.9000244140625,1288.0999755859375,1258.0,1277.800048828125,2344406
2020-04-30,1142.465576171875,1265.699951171875,1285.010009765625,1258.8800048828125,1271.0,2466087
2020-05-06,1173.4259033203125,1300.0,1300.0,1250.0,1251.0,3583481
2020-05-07,1184.2574462890625,1312.0,1314.989990234375,1293.0,1299.4000244140625,2793474
2020-05-08,1186.61328125,1314.6099853515625,1338.0,1308.510009765625,1317.0,2907868
2020-05-11,1194.1956787109375,1323.010009765625,1335.0,1313.6700439453125,1320.0,2367119
2020-05-12,1203.212890625,1333.0,1334.989990234375,1316.0,1318.0,1972181
2020-05-13,1205.875732421875,1335.949951171875,1337.989990234375,1322.8800048828125,1333.0,2201431
2020-05-14,1197.4268798828125,1326.5899658203125,1334.8800048828125,1325.1099853515625,1330.0,1857492
2020-05-15,1185.1602783203125,1313.0,1333.5,1301.8800048828125,1329.0,2639808
2020-05-18,1215.13671875,1346.2099609375,1351.5,1306.0,1306.0,3436211
2020-05-19,1215.0465087890625,1346.1099853515625,1364.0,1338.0,1364.0,2478746
2020-05-20,1219.46044921875,1351.0,1359.1800537109375,1336.81005859375,1346.1099853515625,2118340
2020-05-21,1233.0899658203125,1366.0999755859375,1371.9599609375,1352.8599853515625,1355.0,2305158
2020-05-22,1198.880126953125,1328.199951171875,1366.0999755859375,1322.8800048828125,1366.0,3442746
2020-05-25,1230.2017822265625,1362.9000244140625,1366.5799560546875,1321.0,1330.0,3156100
2020-05-26,1225.77880859375,1358.0,1369.949951171875,1355.0,1369.8800048828125,2247019
2020-05-27,1207.7259521484375,1338.0,1360.0,1333.0,1359.0,2677741
2020-05-28,1213.1419677734375,1344.0,1346.93994140625,1321.1300048828125,1337.969970703125,2648591
2020-05-29,1233.5413818359375,1366.5999755859375,1369.97998046875,1332.0999755859375,1332.0999755859375,2840827
2020-06-01,1281.291015625,1419.5,1420.0999755859375,1381.0,1381.0,3547976
2020-06-02,1273.356689453125,1410.7099609375,1427.9000244140625,1406.6600341796875,1416.010009765625,2596010
2020-06-03,1263.0574951171875,1399.300048828125,1417.5,1395.77001953125,1415.0,2355736
2020-06-04,1270.9014892578125,1407.989990234375,1411.0,1396.0,1396.0,1803741
2020-06-05,1286.25537109375,1425.0,1428.8800048828125,1401.0799560546875,1405.25,1834706
2020-06-08,1269.195556640625,1406.0999755859375,1435.0,1402.010009765625,1425.0,2930045
2020-06-09,1278.628173828125,1416.550048828125,1425.0,1400.6800537109375,1408.0,2261191
2020-06-10,1285.045654296875,1423.6600341796875,1433.3299560546875,1417.0,1425.0,2270074
2020-06-11,1264.104736328125,1400.4599609375,1417.989990234375,1396.989990234375,1411.010009765625,3071171
2020-06-12,1278.465576171875,1416.3699951171875,1416.3699951171875,1383.31005859375,1387.1700439453125,2842742
2020-06-15,1248.3447265625,1383.0,1411.5999755859375,1381.0,1402.0,3461541
2020-06-16,1267.1915283203125,1403.8800048828125,1414.0,1393.1300048828125,1398.5,2920664
2020-06-17,1268.20263671875,1405.0,1411.8599853515625,1395.02001953125,1411.8599853515625,1945307
2020-06-18,1275.423583984375,1413.0,1413.199951171875,1400.0999755859375,1404.9000244140625,2101041
2020-06-19,1299.6502685546875,1439.8399658203125,1445.199951171875,1415.0999755859375,1420.0,3895833
2020-06-22,1298.8922119140625,1439.0,1443.8900146484375,1433.199951171875,1435.0999755859375,2324700
2020-06-23,1330.9359130859375,1474.5,1482.0,1433.52001953125,1435.0,3393426
2020-06-24,1333.2508544921875,1460.010009765625,1465.7099609375,1445.0,1463.5999755859375,2513899
2020-06-29,1336.136474609375,1463.1700439453125,1466.0,1437.010009765625,1448.0,2808061
2020-06-30,1335.8714599609375,1462.8800048828125,1468.97998046875,1455.1199951171875,1463.1199951171875,2244614
2020-07-01,1364.5362548828125,1494.27001953125,1506.0999755859375,1464.02001953125,1468.0,3868249
2020-07-02,1409.9486083984375,1544.0,1550.9000244140625,1495.0,1499.0,4588372
2020-07-03,1407.930419921875,1541.7900390625,1552.5,1516.8800048828125,1550.0,3512581
2020-07-06,1461.086669921875,1600.0,1616.0,1531.81005859375,1538.0,5182196
2020-07-07,1541.4464111328125,1688.0,1744.8199462890625,1601.0,1603.0899658203125,6666393
2020-07-08,1535.3646240234375,1681.3399658203125,1719.0,1660.0,1680.0,5316998
2020-07-09,1557.8836669921875,1706.0,1712.0,1682.0,1691.0,3503324
2020-07-10,1565.052001953125,1713.8499755859375,1736.5999755859375,1688.93994140625,1689.0,3710044
2020-07-13,1627.2760009765625,1781.989990234375,1787.0,1714.6800537109375,1714.6800537109375,6072716
2020-07-14,1609.0216064453125,1762.0,1782.030029296875,1748.4000244140625,1781.989990234375,4609351
2020-07-15,1600.3739013671875,1752.530029296875,1782.5999755859375,1744.7099609375,1744.8800048828125,4071294
