,time,open,high,low,close,volume
406188,2019-10-10 18:49:00,17.312,17.3209,17.3025,17.3044,946.36
406189,2019-10-10 18:50:00,17.3038,17.3054,17.3035,17.3035,1661.84
406190,2019-10-10 18:51:00,17.3035,17.3054,17.3001,17.3001,946.27
406191,2019-10-10 18:52:00,17.3002,17.3054,17.3002,17.3054,1806.6
406192,2019-10-10 18:53:00,17.3041,17.3054,17.3,17.3054,1795.58
406193,2019-10-10 18:54:00,17.3,17.3054,17.2974,17.2974,1630.41
406194,2019-10-10 18:55:00,17.2902,17.2922,17.2879,17.2922,51.97
406195,2019-10-10 18:56:00,17.2922,17.2966,17.2907,17.2907,323.97
406196,2019-10-10 18:57:00,17.292,17.2933,17.2873,17.2887,906.24
406197,2019-10-10 18:58:00,17.2877,17.3384,17.2877,17.3384,2104.56
406198,2019-10-10 18:59:00,17.33,17.3734,17.3297,17.3727,6889.32
406199,2019-10-10 19:00:00,17.3726,17.3726,17.3445,17.3445,1192.82
406200,2019-10-10 19:01:00,17.3446,17.3566,17.3388,17.3524,427.61
406201,2019-10-10 19:02:00,17.3513,17.3566,17.3393,17.3566,221.37
406202,2019-10-10 19:03:00,17.3514,17.352,17.3418,17.3418,905.9
406203,2019-10-10 19:04:00,17.3497,17.3638,17.3169,17.3255,666.6
406204,2019-10-10 19:05:00,17.3159,17.3384,17.3158,17.3384,456.51
406205,2019-10-10 19:06:00,17.3215,17.3399,17.320999999999998,17.3399,308.23
406206,2019-10-10 19:07:00,17.3224,17.3394,17.3224,17.3391,292.75
406207,2019-10-10 19:08:00,17.3307,17.3432,17.3272,17.3297,545.64
406208,2019-10-10 19:09:00,17.3217,17.3217,17.32,17.320999999999998,528.41
406209,2019-10-10 19:10:00,17.3199,17.320999999999998,17.3039,17.3123,142.31
406210,2019-10-10 19:11:00,17.320999999999998,17.320999999999998,17.304000000000002,17.3173,250.48
406211,2019-10-10 19:12:00,17.2996,17.3197,17.2991,17.3147,467.02
406212,2019-10-10 19:13:00,17.304000000000002,17.3061,17.2701,17.3061,1473.54
406213,2019-10-10 19:14:00,17.2971,17.3045,17.2971,17.3045,305.71
406214,2019-10-10 19:15:00,17.3089,17.3102,17.292,17.3033,284.72
406215,2019-10-10 19:16:00,17.3033,17.3033,17.293,17.293,807.37
406216,2019-10-10 19:17:00,17.2939,17.3032,17.293,17.3032,964.38
406217,2019-10-10 19:18:00,17.295,17.3032,17.295,17.3032,987.51
406218,2019-10-10 19:19:00,17.3022,17.3033,17.2945,17.2945,1119.33
406219,2019-10-10 19:20:00,17.3023,17.3033,17.2939,17.3021,910.8
406220,2019-10-10 19:21:00,17.3021,17.3021,17.3013,17.3013,215.54
406221,2019-10-10 19:22:00,17.3021,17.3399,17.3021,17.3399,1835.82
406222,2019-10-10 19:23:00,17.3489,17.35,17.3425,17.349,1400.65
