timestamp,open,high,low,close
2022-11-01,20491.1,33000.1,19800.0,20483.3
2022-11-02,20483.3,20919.0,19700.0,20151.7
2022-11-03,20152.0,20390.0,20039.4,20206.2
2022-11-04,20206.3,21203.3,19427.0,21145.2
2022-11-05,21145.2,22222.1,20666.6,21300.4
2022-11-06,21300.5,21800.0,19299.1,20911.1
2022-11-07,20907.3,23589.8,19283.6,20587.5
2022-11-08,20587.6,20677.1,16888.0,18545.0
2022-11-09,18534.5,47226.4,5400.0,15882.0
2022-11-10,15882.0,21200.0,15299.9,16703.4
2022-11-11,16703.4,17539.2,16035.8,17056.2
2022-11-12,17056.2,17403.6,15998.7,16805.0
2022-11-13,16805.1,17501.4,16035.8,16336.4
2022-11-14,16333.8,17194.2,15820.0,16623.5
2022-11-15,16621.7,17398.8,16035.8,16895.6
2022-11-16,16895.7,17000.0,16385.1,16663.8
2022-11-17,16663.9,16754.6,16420.0,16692.4
2022-11-18,16692.4,16988.8,16400.0,16700.5
2022-11-19,16700.9,17333.3,16035.8,16702.8
2022-11-20,16700.5,17300.0,2500.0,16281.4
2022-11-21,16282.0,16703.4,15471.1,15783.4
2022-11-22,15783.5,16304.2,15666.1,16223.7
2022-11-23,16223.8,16689.8,16164.6,16609.5
2022-11-24,16604.3,16939.9,16200.0,16607.4
2022-11-25,16603.0,16619.1,16351.5,16519.3
2022-11-26,16520.2,16700.0,16383.0,16459.6
2022-11-27,16459.7,17109.4,16404.7,16428.6
2022-11-28,16427.7,16703.4,16003.7,16215.0
2022-11-29,16215.0,16541.3,16103.4,16441.3
2022-11-30,16442.8,17240.0,16353.3,17165.8
2022-12-01,17162.3,17500.0,16870.4,16977.6
2022-12-02,16979.6,17099.9,16793.1,17090.9
2022-12-03,17091.4,17145.1,16865.0,16886.3
2022-12-04,16886.8,17195.9,16883.2,17109.8
2022-12-05,17107.3,17416.4,16879.9,16966.6
2022-12-06,16966.6,17107.0,16915.0,17087.9
2022-12-07,17088.5,17135.1,16701.6,16836.8
2022-12-08,16837.0,17296.8,16740.4,17224.2
2022-12-09,17222.9,17345.6,17067.7,17126.9
2022-12-10,17127.3,17229.2,17098.0,17127.9
2022-12-11,17128.0,17269.2,17072.1,17089.5
2022-12-12,17085.9,17235.2,16871.4,17207.9
2022-12-13,17207.9,17971.8,17083.1,17782.4
2022-12-14,17779.4,18370.0,17672.6,17806.6
2022-12-15,17806.9,17851.7,17305.2,17360.1
2022-12-16,17361.6,17525.0,16532.7,16630.8
2022-12-17,16631.3,16794.8,16581.8,16778.8
2022-12-18,16778.8,16782.8,16705.1,16729.1
2022-12-19,16729.1,17098.0,16124.1,16439.5
2022-12-20,16442.3,17057.9,16401.5,16893.9
2022-12-21,16893.9,16920.6,16734.5,16830.5
2022-12-22,16829.4,16866.6,16568.7,16824.4
2022-12-23,16824.5,16925.6,16751.4,16784.1
2022-12-24,16784.1,16859.1,16783.9,16837.5
2022-12-25,16837.5,16855.2,16726.1,16837.7
2022-12-26,16837.8,16945.4,16793.9,16920.0
2022-12-27,16920.1,16967.8,16599.9,16706.9
2022-12-28,16707.0,16783.4,16471.9,16549.0
2022-12-29,16549.0,16663.1,16493.9,16639.5
2022-12-30,16639.1,16652.0,16407.3,16613.4
2022-12-31,16613.4,16644.8,16478.1,16545.2
