,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
2525,85780299,301089.XSHE,198.4419,5.8546,11.4149,26.0533,58.3095,12600.0,127.071,3145.9919,31.7273,2022-08-16,193.3787
2526,85783989,301090.XSHE,32.2079,4.6167,2.6795,1.2993,32.6321,147941.6562,172.352,17858.5215,20.8052,2022-08-16,35.7389
2527,85780521,301091.XSHE,36.345,4.5163,2.8752,4.6175,12.8224,20800.0,53.7056,4975.4414,12.8466,2022-08-16,33.5263
2528,85780537,301092.XSHE,66.3403,8.6789,2.9759,9.8022,35.3943,13333.333,46.0933,3333.3335,11.5233,2022-08-16,62.5645
2529,85782882,301093.XSHE,21.364,0.9346,1.8706,5.617999999999999,38.1799,13466.667,44.0225,3265.7715,10.6758,2022-08-16,20.379
2530,85781276,301095.XSHE,367.3034,21.7993,7.4545,110.7096,-532.021,20000.0,226.5,3989.5312,45.1814,2022-08-16,355.3097
2531,85780566,301096.XSHE,59.9532,2.7349,3.9732,19.4318,6.5129,10816.667,93.0233,2621.3413,22.5435,2022-08-16,83.7382
2532,85782741,301097.XSHE,42.6929,1.5357,2.8016,7.8083,4.1262,5894.7368,32.4505,1397.6216,7.6939,2022-08-16,41.4481
2533,85782204,301098.XSHE,33.4294,5.0,2.1277,2.3834,57.7812,10560.0,22.3344,2425.5989,5.1301,2022-08-16,26.3154
2534,85781205,301099.XSHE,55.6566,7.0771,8.4807,4.3123,38.2218,8000.0,76.16,1732.7092,16.4954,2022-08-16,82.4184
2535,85781094,301100.XSHE,46.3586,3.7355,2.211,6.0225,4.8514,20000.0,45.2,5000.0,11.3,2022-08-16,38.4659
2536,85781405,301101.XSHE,78.3655,2.8198,5.2735,12.0824,92.6081,13434.1396,71.4696,3128.2168,16.6421,2022-08-16,87.0582
2537,85781153,301102.XSHE,27.031999999999996,2.3781,2.4184,10.1396,3.1935,20000.0,67.18,4315.9053,14.4971,2022-08-16,27.9171
2538,85780222,301103.XSHE,66.1073,4.4436,2.5777,5.6206,4.3084,15802.6475,55.8624,3760.4199,13.2931,2022-08-16,64.6822
2539,85780497,301106.XSHE,32.3663,5.0925,2.4654,4.3705,17.5186,7258.6669999999995,26.1094,1814.6667,6.5274,2022-08-16,33.2326
2540,85783599,301107.XSHE,33.1472,7.9573,3.1824,3.9951,116.7338,7340.0,27.2241,1837.0,6.8134,2022-08-16,33.1518
2541,85781717,301108.XSHE,16.4408,2.217,1.8142,3.7245,2.8749,8120.9819,30.478,2030.2458,7.6195,2022-08-16,13.8506
